#b l mag_J_2MASS mag_H_2MASS mag_K_2MASS mag_IRAC1 mag_IRAC2 mag_IRAC3 mag_IRAC4
-1.957864 334.969926 12.968 11.927 11.432 10.915 11.283 10.967 11.194
-1.985608 334.984004 14.275 13.104999 12.684 12.277 12.433 12.125 12.011
-2.012331 334.948479 13.406 12.323 11.944 11.724 11.727 11.609 11.732
-2.012058 335.002367 12.795 12.055 11.723 11.452 11.472 11.333 11.398
-1.997208 335.013034 13.034 12.127 11.814 11.642 11.529 11.543 11.381
-2.03105 335.03832 12.74 11.756 11.389 11.038 11.133 11.049 11.056
-2.001242 334.927028 14.303 13.102 12.69 12.311 12.358 12.196 12.222
-1.979653 334.94762 13.181 12.12 11.715 11.397 11.45 11.347 11.445
-1.959025 334.965357 13.575 12.63 12.339 12.128 12.177 11.997 12.019
-1.952461 334.985106 13.751 12.441 12.018 11.712 11.825 11.671 11.715
-1.963906 334.957498 13.872 12.865 12.465 12.167 12.208 11.999 12.001
-2.000339 334.974351 12.535 11.576 11.254 10.973 10.936 10.984 10.879
-2.030631 334.982545 12.761 12.357 12.061 11.994 11.914 11.773 11.943
-1.999636 334.969842 14.004 12.874 12.485 12.174 12.235 12.012999 12.152
-1.999117 334.968127 13.073 12.012 11.656 11.421 11.559 11.352 11.471
-2.057792 334.987734 10.999 9.968 9.634 9.441 9.456 9.379 9.311
-2.018586 334.988116 12.729 11.523 11.112001 10.874 10.881 10.816 10.8
-1.936856 334.988141 13.577 12.551 12.21 11.983 11.913 11.752 11.775
-2.002158 334.978712 14.435 13.271 12.901 12.493 12.537 12.571 12.036
-1.981536 334.959602 12.976 11.774 11.293 10.981 11.131 10.937 10.982
-2.019808 334.965368 13.782 12.909 12.658 12.348 12.341 12.137 12.101
-2.029492 334.967772 13.448 12.383 11.973 11.693 11.6 11.63 11.645001
-1.9827 334.956167 12.982 12.602 12.454 12.296 12.192 12.007 11.957
-1.999181 334.935046 14.122 13.131 12.784 12.512 12.595 12.376 12.256
-1.982695 334.994062 12.478 11.072 10.602 10.271 10.378 10.254 10.212
-2.014536 335.04959 13.852 12.706 12.307 12.084 12.182 11.965 11.911
-2.005028 334.943266 12.992 11.981 11.651 11.394 11.412 11.378 11.270001
-1.990061 335.04731 13.317 12.328 11.87 11.743 11.594 11.54 11.46
-1.94957 335.013612 12.91 11.664 11.224 10.935 11.023 10.813 10.794
-2.030625 334.972642 13.601 12.533 12.187 11.914 11.969 11.789 11.7
-2.07162 334.99932 13.185 12.172 11.756 11.57 11.599 11.354999 11.421
-1.984572 335.030019 13.988 12.966 12.626 12.447 12.384 12.073 12.093
-2.03787 335.004893 13.576 12.324 11.878 11.575 11.643 11.462 11.517
-2.053086 335.021504 13.468 12.229999 11.734 11.455 11.628 11.36 11.334
-1.988786 334.988779 14.625 13.504 13.021 12.743 12.819 12.402 12.521
-2.056447 334.983042 13.852 12.703 12.252 11.918 11.918 11.774 11.829
-2.039758 335.017343 13.871 12.853 12.459 12.167 12.157 12.04 11.894
-1.968486 335.030305 13.054 11.706 11.257 11.031 11.125 10.892 10.877
-2.009164 334.964602 14.492 13.337 12.941 12.611 12.54 12.535 12.766
-2.047467 334.998047 13.744 12.588 12.186 12.015 11.924 11.792 11.963
-1.999778 335.060541 13.26 12.426 12.056 12.031 11.928 11.831 11.575
-2.025186 335.053879 12.005 11.123 10.787 10.647 10.746 10.37 10.501
-1.980367 334.993545 13.616 12.541 12.177 11.899 11.971 12.033 11.977
-1.963856 334.971929 13.972 12.865 12.495 12.318 12.261 12.054 12.312
-2.010375 335.019124 12.175 11.308 10.982 10.83 10.822 10.626 10.722
-1.929686 334.999738 14.136 13.059 12.68 12.367 12.441 12.064 12.396
-1.98545 334.969943 14.542 13.28 12.799 12.579 12.659 12.2 12.364
-2.060711 335.01552 13.264 12.293 11.904 11.682 11.718 11.704 11.481
-2.044364 335.019686 13.201 12.746 12.576 12.365 12.205 12.384 12.341
-1.976083 335.036262 14.142 13.006 12.576 12.289 12.528 12.146 11.943
-2.044614 335.006144 11.672 10.815 10.512 10.345 10.517 10.332 10.237001
-1.959175 335.002286 13.75 12.71 12.270001 11.814 12.084 11.81 11.579
-1.977903 335.037148 15.046 13.995 13.637999 13.419 13.489 12.766 12.348
-2.016953 334.996787 14.056 12.813 12.343 12.137 12.06 11.818 11.759
-2.009272 335.070286 10.38 9.739 9.514 9.484 9.559 9.419 9.317
-1.94547 334.990844 13.968 12.678 12.243 11.988 12.084 11.785 11.898
-1.960445 334.971278 13.891 12.694 12.161 12.033 12.054 11.849 11.614
-1.98557 335.015277 14.104999 13.144 12.793 12.464 12.497 12.26 12.074
-2.005578 335.047214 12.642 11.796 11.488 11.361 11.331 11.133 11.169
-1.98682 334.948241 13.186 12.722 12.428 11.969 11.978 11.977 12.112001
-2.04812 335.016926 12.589 11.752 11.476 11.264 11.226 11.273 11.278
-1.979195 334.943453 13.118 12.666 12.433 12.308 12.187 12.159 12.322
-1.961728 334.978671 14.42 13.812 13.627 13.414 13.409 12.65 12.708
